day,shift,preference,requirements,assigned,singleWorkerFitness
11,2,1,8,1,490
11,2,1,8,1,590
11,2,0,8,0,580
11,2,0,8,0,610
11,3,0,6,0,620
11,3,1,6,1,630
11,3,1,6,1,550
11,3,0,6,0,520
11,3,1,6,1,600
11,3,0,6,0,560
11,3,1,6,0,660
11,3,0,6,1,490
11,3,1,6,1,590
11,3,0,6,0,580
11,3,0,6,0,610
12,1,0,9,1,620
12,1,1,9,1,630
12,1,0,9,1,550
12,1,0,9,1,520
12,1,0,9,1,600
12,1,1,9,1,560
12,1,0,9,0,660
12,1,0,9,1,490
12,1,1,9,1,590
12,1,0,9,0,580
12,1,0,9,1,610
12,2,0,6,0,620
12,2,0,6,0,630
12,2,0,6,0,550
12,2,1,6,1,520
12,2,0,6,0,600
12,2,1,6,0,560
12,2,1,6,1,660
12,2,1,6,1,490
12,2,1,6,1,590
12,2,1,6,1,580
12,2,1,6,1,610
12,3,1,8,1,620
12,3,1,8,1,630
12,3,1,8,1,550
12,3,1,8,0,520
12,3,1,8,1,600
12,3,1,8,1,560
12,3,1,8,1,660
12,3,1,8,0,490
12,3,0,8,1,590
12,3,1,8,1,580
12,3,1,8,0,610
13,1,0,5,0,620
13,1,0,5,0,630
13,1,0,5,0,550
13,1,1,5,1,520
13,1,0,5,0,600
13,1,0,5,1,560
13,1,0,5,0,660
13,1,0,5,1,490
13,1,1,5,1,590
13,1,1,5,0,580
13,1,1,5,1,610
13,2,0,8,1,620
13,2,1,8,1,630
13,2,0,8,0,550
13,2,1,8,1,520
13,2,1,8,1,600
13,2,1,8,1,560
13,2,1,8,1,660
13,2,1,8,0,490
13,2,1,8,1,590
13,2,1,8,1,580
13,2,1,8,0,610
13,3,0,9,1,620
13,3,0,9,1,630
13,3,1,9,0,550
13,3,0,9,0,520
13,3,0,9,1,600
13,3,1,9,1,560
13,3,0,9,1,660
13,3,1,9,1,490
13,3,1,9,1,590
13,3,0,9,1,580
13,3,0,9,1,610
14,1,0,10,0,620
14,1,1,10,1,630
14,1,0,10,1,550
14,1,0,10,1,520
14,1,1,10,1,600
14,1,0,10,1,560
14,1,0,10,1,660
14,1,0,10,1,490
14,1,0,10,0,590
14,1,1,10,1,580
14,1,0,10,1,610
14,2,1,6,1,620
14,2,1,6,0,630
14,2,0,6,0,550
14,2,1,6,1,520
14,2,0,6,1,600
14,2,1,6,0,560
14,2,1,6,0,660
14,2,1,6,1,490
14,2,1,6,0,590
14,2,1,6,1,580
14,2,0,6,1,610
14,3,0,9,1,620
14,3,0,9,0,630
14,3,0,9,1,550
14,3,0,9,1,520
14,3,1,9,1,600
14,3,1,9,1,560
14,3,0,9,1,660
14,3,0,9,1,490
14,3,1,9,1,590
14,3,1,9,1,580
14,3,0,9,0,610
15,1,0,6,0,620
15,1,0,6,1,630
15,1,1,6,1,550
15,1,1,6,1,520
15,1,0,6,1,600
15,1,1,6,1,560
15,1,0,6,0,660
15,1,1,6,0,490
15,1,1,6,0,590
15,1,1,6,1,580
15,1,1,6,1,610
15,2,0,5,0,620
15,2,0,5,0,630
15,2,0,5,1,550
15,2,0,5,0,520
15,2,0,5,0,600
15,2,1,5,0,560
15,2,1,5,1,660
15,2,0,5,1,490
15,2,0,5,1,590
15,2,1,5,0,580
15,2,0,5,0,610
15,3,0,9,1,620
15,3,0,9,1,630
15,3,1,9,1,550
15,3,0,9,1,520
15,3,0,9,1,600
15,3,0,9,1,560
15,3,0,9,0,660
15,3,1,9,0,490
15,3,1,9,1,590
15,3,1,9,1,580
15,3,1,9,1,610
16,1,0,8,0,620
16,1,1,8,0,630
16,1,1,8,1,550
16,1,1,8,1,520
16,1,1,8,1,600
16,1,1,8,0,560
16,1,1,8,1,660
16,1,0,8,1,490
16,1,0,8,1,590
16,1,1,8,1,580
16,1,0,8,1,610
16,2,0,7,1,620
16,2,0,7,0,630
16,2,0,7,0,550
16,2,0,7,1,520
16,2,1,7,1,600
16,2,0,7,0,560
16,2,0,7,1,660
16,2,1,7,1,490
16,2,0,7,0,590
16,2,0,7,1,580
16,2,1,7,1,610
16,3,0,5,0,620
16,3,0,5,0,630
16,3,0,5,0,550
16,3,0,5,1,520
16,3,0,5,0,600
16,3,0,5,1,560
16,3,1,5,1,660
16,3,0,5,0,490
16,3,0,5,0,590
16,3,0,5,1,580
16,3,1,5,1,610
17,1,1,7,1,620
17,1,0,7,0,630
17,1,0,7,0,550
17,1,0,7,0,520
17,1,0,7,0,600
17,1,0,7,1,560
17,1,0,7,1,660
17,1,0,7,1,490
17,1,1,7,1,590
17,1,0,7,1,580
17,1,1,7,1,610
17,2,1,9,1,620
17,2,1,9,1,630
17,2,1,9,1,550
17,2,1,9,1,520
17,2,0,9,1,600
17,2,1,9,0,560
17,2,1,9,1,660
17,2,0,9,1,490
17,2,0,9,1,590
17,2,1,9,0,580
17,2,1,9,1,610
17,3,1,8,1,620
17,3,1,8,1,630
17,3,0,8,0,550
17,3,1,8,1,520
17,3,0,8,1,600
17,3,1,8,1,560
17,3,1,8,1,660
17,3,0,8,1,490
17,3,0,8,0,590
17,3,0,8,0,580
17,3,0,8,1,610
18,1,0,8,1,620
18,1,1,8,1,630
18,1,0,8,0,550
18,1,0,8,1,520
18,1,1,8,1,600
18,1,1,8,1,560
18,1,0,8,0,660
18,1,0,8,0,490
18,1,0,8,1,590
18,1,0,8,1,580
18,1,1,8,1,610
18,2,1,8,1,620
18,2,0,8,1,630
18,2,0,8,1,550
18,2,1,8,1,520
18,2,0,8,0,600
18,2,1,8,1,560
18,2,0,8,0,660
18,2,0,8,0,490
18,2,0,8,1,590
18,2,1,8,1,580
18,2,0,8,1,610
18,3,0,6,0,620
18,3,0,6,0,630
18,3,1,6,1,550
18,3,1,6,1,520
18,3,0,6,0,600
18,3,1,6,0,560
18,3,0,6,1,660
18,3,1,6,0,490
18,3,1,6,1,590
18,3,1,6,0,580
18,3,0,6,1,610
19,1,0,7,0,620
19,1,1,7,1,630
19,1,1,7,1,550
19,1,1,7,1,520
19,1,1,7,1,600
19,1,1,7,1,560
19,1,0,7,0,660
19,1,1,7,1,490
19,1,1,7,0,590
19,1,1,7,1,580
19,1,1,7,1,610
19,2,0,8,0,620
19,2,1,8,1,630
19,2,1,8,0,550
19,2,1,8,1,520
19,2,1,8,1,600
19,2,0,8,0,560
19,2,1,8,1,660
19,2,1,8,1,490
19,2,1,8,1,590
19,2,1,8,1,580
19,2,1,8,1,610
19,3,0,6,1,620
19,3,0,6,0,630
19,3,0,6,0,550
19,3,0,6,0,520
19,3,0,6,1,600
19,3,0,6,1,560
19,3,0,6,1,660
19,3,1,6,1,490
19,3,0,6,0,590
19,3,0,6,0,580
19,3,1,6,1,610
20,1,1,7,1,620
20,1,0,7,1,630
20,1,0,7,1,550
20,1,0,7,0,520
20,1,1,7,1,600
20,1,0,7,0,560
20,1,1,7,1,660
20,1,1,7,0,490
20,1,1,7,1,590
20,1,1,7,1,580
20,1,1,7,0,610
20,2,1,8,1,620
20,2,1,8,1,630
20,2,1,8,1,550
20,2,1,8,0,520
20,2,0,8,1,600
20,2,1,8,0,560
20,2,0,8,1,660
20,2,0,8,0,490
20,2,0,8,0,590
20,2,0,8,1,580
20,2,1,8,1,610
20,3,0,5,1,620
20,3,0,5,1,630
20,3,0,5,0,550
20,3,0,5,0,520
20,3,0,5,0,600
20,3,1,5,1,560
20,3,1,5,0,660
20,3,0,5,1,490
20,3,0,5,0,590
20,3,1,5,1,580
20,3,0,5,0,610
21,1,0,5,1,620
21,1,0,5,0,630
21,1,0,5,1,550
21,1,0,5,0,520
21,1,0,5,0,600
21,1,1,5,1,560
21,1,0,5,1,660
21,1,1,5,0,490
21,1,1,5,0,590
21,1,0,5,0,580
21,1,1,5,1,610
21,2,1,5,0,620
21,2,1,5,1,630
21,2,0,5,1,550
21,2,0,5,0,520
21,2,1,5,1,600
21,2,0,5,0,560
21,2,1,5,1,660
21,2,1,5,1,490
21,2,0,5,0,590
21,2,1,5,0,580
21,2,0,5,0,610
21,3,1,6,1,620
21,3,0,6,0,630
21,3,0,6,1,550
21,3,0,6,0,520
21,3,0,6,0,600
21,3,0,6,0,560
21,3,1,6,1,660
21,3,0,6,1,490
21,3,0,6,0,590
21,3,1,6,1,580
21,3,1,6,0,610
22,1,1,5,1,620
22,1,1,5,1,630
22,1,1,5,1,550
22,1,0,5,1,520
22,1,0,5,0,600
22,1,0,5,0,560
22,1,1,5,1,660
22,1,1,5,0,490
22,1,1,5,0,590
22,1,1,5,0,580
22,1,1,5,0,610
22,2,0,8,0,620
22,2,1,8,1,630
22,2,0,8,0,550
22,2,1,8,1,520
22,2,1,8,1,600
22,2,1,8,1,560
22,2,1,8,1,660
22,2,1,8,1,490
22,2,0,8,1,590
22,2,1,8,1,580
22,2,0,8,0,610
22,3,1,9,1,620
22,3,0,9,0,630
22,3,0,9,1,550
22,3,1,9,1,520
22,3,0,9,1,600
22,3,0,9,0,560
22,3,1,9,1,660
22,3,1,9,1,490
22,3,1,9,1,590
22,3,1,9,1,580
22,3,0,9,1,610
23,1,1,7,1,620
23,1,1,7,1,630
23,1,1,7,1,550
23,1,0,7,1,520
23,1,1,7,0,600
23,1,1,7,1,560
23,1,0,7,0,660
23,1,1,7,1,490
23,1,0,7,0,590
23,1,1,7,1,580
23,1,1,7,1,610
23,2,0,10,1,620
23,2,1,10,1,630
23,2,0,10,1,550
23,2,0,10,1,520
23,2,0,10,0,600
23,2,1,10,1,560
23,2,1,10,1,660
23,2,0,10,1,490
23,2,0,10,0,590
23,2,0,10,1,580
23,2,1,10,1,610
23,3,0,9,0,620
23,3,1,9,1,630
23,3,1,9,1,550
23,3,1,9,1,520
23,3,0,9,0,600
23,3,0,9,1,560
23,3,1,9,1,660
23,3,0,9,1,490
23,3,0,9,0,590
23,3,0,9,1,580
23,3,1,9,1,610
24,1,0,9,1,620
24,1,1,9,1,630
24,1,0,9,1,550
24,1,0,9,1,520
24,1,1,9,1,600
24,1,0,9,1,560
24,1,0,9,1,660
24,1,1,9,1,490
24,1,1,9,1,590
24,1,0,9,0,580
24,1,0,9,0,610
24,2,1,5,1,620
24,2,1,5,1,630
24,2,0,5,0,550
24,2,0,5,0,520
24,2,0,5,0,600
24,2,1,5,1,560
24,2,1,5,0,660
24,2,1,5,0,490
24,2,1,5,1,590
24,2,1,5,0,580
24,2,0,5,1,610
24,3,0,7,1,620
24,3,0,7,1,630
24,3,0,7,0,550
24,3,1,7,1,520
24,3,0,7,0,600
24,3,0,7,0,560
24,3,1,7,1,660
24,3,0,7,1,490
24,3,0,7,1,590
24,3,0,7,1,580
24,3,1,7,1,610
25,1,0,7,0,620
25,1,0,7,0,630
25,1,1,7,1,550
25,1,0,7,0,520
25,1,1,7,1,600
25,1,0,7,1,560
25,1,1,7,1,660
25,1,1,7,0,490
25,1,1,7,1,590
