id,day,shift,worker_id,preference,requirements,assigned,singleWorkerFitness,finalWorkerPenalty,finalFitnness
394,12,3,10,1,8,1,510,1250,5100
395,12,3,11,1,8,1,570,1250,5100
396,13,1,1,0,5,0,590,1250,5100
397,13,1,2,0,5,0,680,1250,5100
398,13,1,3,0,5,0,550,1250,5100
399,13,1,4,1,5,1,540,1250,5100
400,13,1,5,0,5,1,500,1250,5100
401,13,1,6,0,5,0,550,1250,5100
402,13,1,7,0,5,1,580,1250,5100
403,13,1,8,0,5,1,660,1250,5100
404,13,1,9,1,5,1,620,1250,5100
405,13,1,10,1,5,1,510,1250,5100
406,13,1,11,1,5,0,570,1250,5100
407,13,2,1,0,8,0,590,1250,5100
408,13,2,2,1,8,1,680,1250,5100
409,13,2,3,0,8,1,550,1250,5100
410,13,2,4,1,8,1,540,1250,5100
411,13,2,5,1,8,0,500,1250,5100
412,13,2,6,1,8,0,550,1250,5100
413,13,2,7,1,8,1,580,1250,5100
414,13,2,8,1,8,1,660,1250,5100
415,13,2,9,1,8,1,620,1250,5100
416,13,2,10,1,8,1,510,1250,5100
417,13,2,11,1,8,1,570,1250,5100
418,13,3,1,0,9,1,590,1250,5100
419,13,3,2,0,9,1,680,1250,5100
420,13,3,3,1,9,1,550,1250,5100
421,13,3,4,0,9,1,540,1250,5100
422,13,3,5,0,9,0,500,1250,5100
423,13,3,6,1,9,1,550,1250,5100
424,13,3,7,0,9,1,580,1250,5100
425,13,3,8,1,9,1,660,1250,5100
426,13,3,9,1,9,1,620,1250,5100
427,13,3,10,0,9,1,510,1250,5100
428,13,3,11,0,9,1,570,1250,5100
429,14,1,1,0,10,1,590,1250,5100
430,14,1,2,1,10,1,680,1250,5100
431,14,1,3,0,10,0,550,1250,5100
432,14,1,4,0,10,1,540,1250,5100
433,14,1,5,1,10,1,500,1250,5100
434,14,1,6,0,10,1,550,1250,5100
435,14,1,7,0,10,1,580,1250,5100
436,14,1,8,0,10,1,660,1250,5100
437,14,1,9,0,10,1,620,1250,5100
438,14,1,10,1,10,1,510,1250,5100
439,14,1,11,0,10,1,570,1250,5100
440,14,2,1,1,6,0,590,1250,5100
441,14,2,2,1,6,0,680,1250,5100
442,14,2,3,0,6,1,550,1250,5100
443,14,2,4,1,6,1,540,1250,5100
444,14,2,5,0,6,0,500,1250,5100
445,14,2,6,1,6,1,550,1250,5100
446,14,2,7,1,6,1,580,1250,5100
447,14,2,8,1,6,0,660,1250,5100
448,14,2,9,1,6,0,620,1250,5100
449,14,2,10,1,6,1,510,1250,5100
450,14,2,11,0,6,1,570,1250,5100
451,14,3,1,0,9,0,590,1250,5100
452,14,3,2,0,9,1,680,1250,5100
453,14,3,3,0,9,0,550,1250,5100
454,14,3,4,0,9,1,540,1250,5100
455,14,3,5,1,9,1,500,1250,5100
456,14,3,6,1,9,1,550,1250,5100
457,14,3,7,0,9,1,580,1250,5100
458,14,3,8,0,9,0,660,1250,5100
459,14,3,9,1,9,1,620,1250,5100
460,14,3,10,1,9,1,510,1250,5100
461,14,3,11,0,9,1,570,1250,5100
462,15,1,1,0,6,0,590,1250,5100
463,15,1,2,0,6,0,680,1250,5100
464,15,1,3,1,6,1,550,1250,5100
465,15,1,4,1,6,1,540,1250,5100
466,15,1,5,0,6,0,500,1250,5100
467,15,1,6,1,6,1,550,1250,5100
468,15,1,7,0,6,1,580,1250,5100
469,15,1,8,1,6,1,660,1250,5100
470,15,1,9,1,6,0,620,1250,5100
471,15,1,10,1,6,1,510,1250,5100
472,15,1,11,1,6,0,570,1250,5100
473,15,2,1,0,5,0,590,1250,5100
474,15,2,2,0,5,0,680,1250,5100
475,15,2,3,0,5,0,550,1250,5100
476,15,2,4,0,5,0,540,1250,5100
477,15,2,5,0,5,1,500,1250,5100
478,15,2,6,1,5,0,550,1250,5100
479,15,2,7,1,5,1,580,1250,5100
480,15,2,8,0,5,0,660,1250,5100
481,15,2,9,0,5,1,620,1250,5100
482,15,2,10,1,5,1,510,1250,5100
483,15,2,11,0,5,1,570,1250,5100
484,15,3,1,0,9,0,590,1250,5100
485,15,3,2,0,9,1,680,1250,5100
486,15,3,3,1,9,1,550,1250,5100
487,15,3,4,0,9,1,540,1250,5100
488,15,3,5,0,9,1,500,1250,5100
489,15,3,6,0,9,1,550,1250,5100
490,15,3,7,0,9,0,580,1250,5100
491,15,3,8,1,9,1,660,1250,5100
492,15,3,9,1,9,1,620,1250,5100
493,15,3,10,1,9,1,510,1250,5100
494,15,3,11,1,9,1,570,1250,5100
495,16,1,1,0,8,1,590,1250,5100
496,16,1,2,1,8,1,680,1250,5100
497,16,1,3,1,8,0,550,1250,5100
498,16,1,4,1,8,1,540,1250,5100
499,16,1,5,1,8,1,500,1250,5100
500,16,1,6,1,8,1,550,1250,5100
501,16,1,7,1,8,1,580,1250,5100
502,16,1,8,0,8,0,660,1250,5100
503,16,1,9,0,8,1,620,1250,5100
504,16,1,10,1,8,1,510,1250,5100
505,16,1,11,0,8,1,570,1250,5100
506,16,2,1,0,7,1,590,1250,5100
507,16,2,2,0,7,0,680,1250,5100
508,16,2,3,0,7,1,550,1250,5100
