id,day,shift,worker_id,preference,requirements,assigned,singleWorkerFitness,finalWorkerPenalty,sumFitnness
133,5,1,2,0,8,1,540,800,5140
134,5,1,3,0,8,1,540,800,5140
135,5,1,4,0,8,1,600,800,5140
136,5,1,5,1,8,1,570,800,5140
137,5,1,6,1,8,1,570,800,5140
138,5,1,7,0,8,0,650,800,5140
139,5,1,8,1,8,1,500,800,5140
140,5,1,9,0,8,1,490,800,5140
141,5,1,10,1,8,0,500,800,5140
142,5,1,11,1,8,1,480,800,5140
143,5,2,1,0,9,1,500,800,5140
144,5,2,2,0,9,0,540,800,5140
145,5,2,3,0,9,1,540,800,5140
146,5,2,4,1,9,1,600,800,5140
147,5,2,5,0,9,1,570,800,5140
148,5,2,6,0,9,1,570,800,5140
149,5,2,7,1,9,1,650,800,5140
150,5,2,8,1,9,1,500,800,5140
151,5,2,9,0,9,0,490,800,5140
152,5,2,10,1,9,1,500,800,5140
153,5,2,11,1,9,1,480,800,5140
154,5,3,1,0,5,0,500,800,5140
155,5,3,2,1,5,0,540,800,5140
156,5,3,3,0,5,0,540,800,5140
157,5,3,4,1,5,0,600,800,5140
158,5,3,5,1,5,1,570,800,5140
159,5,3,6,0,5,1,570,800,5140
160,5,3,7,1,5,1,650,800,5140
161,5,3,8,1,5,0,500,800,5140
162,5,3,9,1,5,1,490,800,5140
163,5,3,10,0,5,0,500,800,5140
164,5,3,11,1,5,1,480,800,5140
165,6,1,1,0,5,1,500,800,5140
166,6,1,2,1,5,1,540,800,5140
167,6,1,3,0,5,0,540,800,5140
168,6,1,4,0,5,0,600,800,5140
169,6,1,5,1,5,1,570,800,5140
170,6,1,6,0,5,0,570,800,5140
171,6,1,7,0,5,1,650,800,5140
172,6,1,8,1,5,0,500,800,5140
173,6,1,9,0,5,0,490,800,5140
174,6,1,10,0,5,0,500,800,5140
175,6,1,11,1,5,0,480,800,5140
176,6,2,1,1,6,1,500,800,5140
177,6,2,2,1,6,1,540,800,5140
178,6,2,3,1,6,1,540,800,5140
179,6,2,4,0,6,0,600,800,5140
180,6,2,5,1,6,1,570,800,5140
181,6,2,6,1,6,1,570,800,5140
182,6,2,7,0,6,0,650,800,5140
183,6,2,8,0,6,0,500,800,5140
184,6,2,9,0,6,1,490,800,5140
185,6,2,10,0,6,1,500,800,5140
186,6,2,11,0,6,0,480,800,5140
187,6,3,1,0,5,0,500,800,5140
188,6,3,2,0,5,0,540,800,5140
189,6,3,3,1,5,1,540,800,5140
190,6,3,4,1,5,1,600,800,5140
191,6,3,5,0,5,0,570,800,5140
192,6,3,6,1,5,1,570,800,5140
193,6,3,7,0,5,0,650,800,5140
194,6,3,8,1,5,0,500,800,5140
195,6,3,9,1,5,1,490,800,5140
196,6,3,10,0,5,0,500,800,5140
197,6,3,11,1,5,0,480,800,5140
198,7,1,1,0,8,1,500,800,5140
199,7,1,2,0,8,0,540,800,5140
200,7,1,3,1,8,1,540,800,5140
201,7,1,4,1,8,1,600,800,5140
202,7,1,5,0,8,1,570,800,5140
203,7,1,6,1,8,1,570,800,5140
204,7,1,7,0,8,1,650,800,5140
205,7,1,8,0,8,0,500,800,5140
206,7,1,9,1,8,1,490,800,5140
207,7,1,10,0,8,0,500,800,5140
208,7,1,11,1,8,1,480,800,5140
209,7,2,1,1,9,1,500,800,5140
210,7,2,2,1,9,0,540,800,5140
211,7,2,3,0,9,1,540,800,5140
212,7,2,4,0,9,1,600,800,5140
213,7,2,5,0,9,1,570,800,5140
214,7,2,6,1,9,1,570,800,5140
215,7,2,7,0,9,0,650,800,5140
216,7,2,8,1,9,1,500,800,5140
217,7,2,9,1,9,1,490,800,5140
218,7,2,10,0,9,1,500,800,5140
219,7,2,11,0,9,1,480,800,5140
220,7,3,1,1,6,0,500,800,5140
221,7,3,2,0,6,1,540,800,5140
222,7,3,3,1,6,0,540,800,5140
223,7,3,4,1,6,1,600,800,5140
224,7,3,5,1,6,0,570,800,5140
225,7,3,6,1,6,0,570,800,5140
226,7,3,7,0,6,1,650,800,5140
227,7,3,8,0,6,0,500,800,5140
228,7,3,9,0,6,1,490,800,5140
229,7,3,10,0,6,1,500,800,5140
230,7,3,11,1,6,1,480,800,5140
231,8,1,1,0,8,0,500,800,5140
232,8,1,2,1,8,1,540,800,5140
233,8,1,3,1,8,1,540,800,5140
234,8,1,4,0,8,1,600,800,5140
235,8,1,5,0,8,1,570,800,5140
236,8,1,6,1,8,1,570,800,5140
237,8,1,7,1,8,0,650,800,5140
238,8,1,8,0,8,1,500,800,5140
239,8,1,9,0,8,0,490,800,5140
240,8,1,10,0,8,1,500,800,5140
241,8,1,11,0,8,1,480,800,5140
242,8,2,1,1,7,1,500,800,5140
243,8,2,2,0,7,1,540,800,5140
244,8,2,3,0,7,0,540,800,5140
245,8,2,4,0,7,1,600,800,5140
246,8,2,5,0,7,1,570,800,5140
247,8,2,6,1,7,1,570,800,5140
248,8,2,7,0,7,0,650,800,5140
249,8,2,8,0,7,1,500,800,5140
250,8,2,9,1,7,1,490,800,5140
251,8,2,10,0,7,1,500,800,5140
252,8,2,11,0,7,0,480,800,5140
253,8,3,1,1,5,0,500,800,5140
254,8,3,2,1,5,1,540,800,5140
255,8,3,3,0,5,1,540,800,5140
256,8,3,4,1,5,1,600,800,5140
257,8,3,5,1,5,1,570,800,5140
258,8,3,6,0,5,1,570,800,5140
259,8,3,7,0,5,0,650,800,5140
260,8,3,8,0,5,0,500,800,5140
261,8,3,9,0,5,0,490,800,5140
262,8,3,10,0,5,1,500,800,5140
263,8,3,11,1,5,0,480,800,5140
264,9,1,1,0,10,1,500,800,5140
265,9,1,2,1,10,1,540,800,5140
266,9,1,3,0,10,1,540,800,5140
267,9,1,4,0,10,1,600,800,5140
268,9,1,5,1,10,1,570,800,5140
269,9,1,6,0,10,1,570,800,5140
270,9,1,7,0,10,0,650,800,5140
271,9,1,8,0,10,1,500,800,5140
272,9,1,9,0,10,1,490,800,5140
273,9,1,10,0,10,1,500,800,5140
274,9,1,11,1,10,1,480,800,5140
275,9,2,1,0,5,1,500,800,5140
276,9,2,2,1,5,1,540,800,5140
277,9,2,3,1,5,1,540,800,5140
278,9,2,4,0,5,0,600,800,5140
279,9,2,5,0,5,0,570,800,5140
280,9,2,6,1,5,0,570,800,5140
281,9,2,7,1,5,0,650,800,5140
282,9,2,8,0,5,0,500,800,5140
283,9,2,9,0,5,1,490,800,5140
284,9,2,10,0,5,0,500,800,5140
285,9,2,11,0,5,1,480,800,5140
286,9,3,1,1,10,1,500,800,5140
287,9,3,2,1,10,1,540,800,5140
288,9,3,3,0,10,1,540,800,5140
289,9,3,4,0,10,1,600,800,5140
290,9,3,5,0,10,1,570,800,5140
291,9,3,6,1,10,1,570,800,5140
292,9,3,7,0,10,1,650,800,5140
293,9,3,8,1,10,0,500,800,5140
294,9,3,9,0,10,1,490,800,5140
295,9,3,10,1,10,1,500,800,5140
296,9,3,11,1,10,1,480,800,5140
297,10,1,1,1,7,1,500,800,5140
298,10,1,2,0,7,0,540,800,5140
299,10,1,3,0,7,1,540,800,5140
300,10,1,4,1,7,1,600,800,5140
301,10,1,5,1,7,0,570,800,5140
302,10,1,6,1,7,1,570,800,5140
303,10,1,7,1,7,0,650,800,5140
304,10,1,8,1,7,1,500,800,5140
305,10,1,9,0,7,1,490,800,5140
306,10,1,10,0,7,1,500,800,5140
307,10,1,11,0,7,0,480,800,5140
308,10,2,1,1,10,1,500,800,5140
309,10,2,2,1,10,1,540,800,5140
310,10,2,3,0,10,1,540,800,5140
311,10,2,4,1,10,1,600,800,5140
312,10,2,5,1,10,1,570,800,5140
313,10,2,6,1,10,1,570,800,5140
314,10,2,7,1,10,1,650,800,5140
315,10,2,8,0,10,1,500,800,5140
316,10,2,9,1,10,0,490,800,5140
317,10,2,10,0,10,1,500,800,5140
318,10,2,11,1,10,1,480,800,5140
319,10,3,1,1,10,1,500,800,5140
320,10,3,2,1,10,1,540,800,5140
321,10,3,3,1,10,1,540,800,5140
322,10,3,4,1,10,1,600,800,5140
323,10,3,5,0,10,1,570,800,5140
324,10,3,6,1,10,1,570,800,5140
325,10,3,7,1,10,1,650,800,5140
326,10,3,8,1,10,1,500,800,5140
327,10,3,9,0,10,1,490,800,5140
328,10,3,10,0,10,0,500,800,5140
329,10,3,11,0,10,1,480,800,5140
330,11,1,1,0,5,0,500,800,5140
331,11,1,2,0,5,1,540,800,5140
332,11,1,3,0,5,1,540,800,5140
333,11,1,4,0,5,0,600,800,5140
334,11,1,5,0,5,1,570,800,5140
335,11,1,6,0,5,0,570,800,5140
336,11,1,7,1,5,0,650,800,5140
337,11,1,8,0,5,0,500,800,5140
338,11,1,9,0,5,1,490,800,5140
339,11,1,10,1,5,1,500,800,5140
340,11,1,11,1,5,1,480,800,5140
341,11,2,1,1,8,1,500,800,5140
342,11,2,2,0,8,1,540,800,5140
343,11,2,3,1,8,1,540,800,5140
344,11,2,4,1,8,1,600,800,5140
345,11,2,5,1,8,1,570,800,5140
346,11,2,6,1,8,0,570,800,5140
347,11,2,7,0,8,0,650,800,5140
348,11,2,8,1,8,1,500,800,5140
349,11,2,9,1,8,0,490,800,5140
350,11,2,10,0,8,1,500,800,5140
351,11,2,11,0,8,1,480,800,5140
352,11,3,1,0,6,0,500,800,5140
353,11,3,2,1,6,1,540,800,5140
354,11,3,3,1,6,1,540,800,5140
355,11,3,4,0,6,0,600,800,5140
356,11,3,5,1,6,1,570,800,5140
357,11,3,6,0,6,0,570,800,5140
358,11,3,7,1,6,1,650,800,5140
359,11,3,8,0,6,1,500,800,5140
360,11,3,9,1,6,1,490,800,5140
361,11,3,10,0,6,0,500,800,5140
362,11,3,11,0,6,0,480,800,5140
363,12,1,1,0,9,0,500,800,5140
364,12,1,2,1,9,1,540,800,5140
365,12,1,3,0,9,1,540,800,5140
366,12,1,4,0,9,1,600,800,5140
367,12,1,5,0,9,1,570,800,5140
368,12,1,6,1,9,1,570,800,5140
369,12,1,7,0,9,1,650,800,5140
370,12,1,8,0,9,1,500,800,5140
371,12,1,9,1,9,1,490,800,5140
372,12,1,10,0,9,0,500,800,5140
373,12,1,11,0,9,1,480,800,5140
374,12,2,1,0,6,1,500,800,5140
375,12,2,2,0,6,1,540,800,5140
376,12,2,3,0,6,0,540,800,5140
377,12,2,4,1,6,1,600,800,5140
378,12,2,5,0,6,1,570,800,5140
379,12,2,6,1,6,1,570,800,5140
380,12,2,7,1,6,0,650,800,5140
381,12,2,8,1,6,1,500,800,5140
382,12,2,9,1,6,0,490,800,5140
383,12,2,10,1,6,0,500,800,5140
384,12,2,11,1,6,0,480,800,5140
385,12,3,1,1,8,1,500,800,5140
386,12,3,2,1,8,0,540,800,5140
387,12,3,3,1,8,1,540,800,5140
388,12,3,4,1,8,1,600,800,5140
389,12,3,5,1,8,1,570,800,5140
390,12,3,6,1,8,1,570,800,5140
391,12,3,7,1,8,1,650,800,5140
392,12,3,8,1,8,1,500,800,5140
393,12,3,9,0,8,0,490,800,5140
394,12,3,10,1,8,0,500,800,5140
395,12,3,11,1,8,1,480,800,5140
396,13,1,1,0,5,1,500,800,5140
397,13,1,2,0,5,0,540,800,5140
398,13,1,3,0,5,1,540,800,5140
399,13,1,4,1,5,1,600,800,5140
400,13,1,5,0,5,0,570,800,5140
401,13,1,6,0,5,1,570,800,5140
402,13,1,7,0,5,0,650,800,5140
403,13,1,8,0,5,0,500,800,5140
404,13,1,9,1,5,1,490,800,5140
405,13,1,10,1,5,0,500,800,5140
406,13,1,11,1,5,0,480,800,5140
407,13,2,1,0,8,1,500,800,5140
408,13,2,2,1,8,1,540,800,5140
409,13,2,3,0,8,1,540,800,5140
410,13,2,4,1,8,1,600,800,5140
411,13,2,5,1,8,1,570,800,5140
412,13,2,6,1,8,1,570,800,5140
